Temp (c), Acc
(-100)	(0.04, 0.17, 9.44)	(-15.5625, -91.75, 23.0625)	(-0.003272492347489368, -0.001090830782496456, 0.004363323129985824)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(2,	0,	0,	0)	(1700331166.9609523)	(
(28)	(0.02, 0.18, 9.41)	(-15.5625, -91.75, 23.0625)	(-0.002181661564992912, -0.001090830782496456, -0.002181661564992912)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0,	0,	0,	0)	(1700331166.997826)	(
(-100)	(0.06, 0.16, 9.42)	(-15.5625, -91.75, 23.0625)	(0.001090830782496456, -0.002181661564992912, -0.002181661564992912)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.0, 0.0)	(0.04, 0.18, -0.39)	(0.0, 0.0, 9.8)	(0,	0,	0,	0)	(1700331167.032268)	(
(-100)	(0.05, 0.17, 9.450000000000001)	(-15.1875, -91.5, 22.25)	(-0.001090830782496456, -0.001090830782496456, -0.001090830782496456)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00927734375, -0.00213623046875, 0.0)	(-0.01, -0.01, -0.33)	(0.04, 0.18, 9.8)	(2,	0,	0,	0)	(1700331167.0615833)	(
(-100)	(0.03, 0.21, 9.47)	(-15.1875, -91.5, 22.25)	(-0.001090830782496456, -0.00545415391248228, -0.001090830782496456)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00927734375, -0.00213623046875, 0.0)	(0.0, 0.0, -0.35000000000000003)	(0.04, 0.18, 9.8)	(2,	0,	0,	0)	(1700331167.0920582)	(
(28)	(0.02, 0.19, 9.47)	(-15.1875, -91.5, 23.0)	(-0.001090830782496456, -0.001090830782496456, -0.002181661564992912)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.02, 0.03, -0.38)	(0.04, 0.18, 9.8)	(2,	0,	0,	0)	(1700331167.1223073)	(
(-100)	(0.04, 0.17, 9.44)	(-14.5, -91.0625, 23.75)	(0.0, -0.002181661564992912, 0.001090830782496456)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.02, 0.02, -0.34)	(0.04, 0.18, 9.8)	(2,	0,	0,	0)	(1700331167.1548803)	(
(28)	(0.04, 0.17, 9.44)	(-14.5, -91.0625, 23.75)	(-0.001090830782496456, -0.001090830782496456, 0.0)	(360.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.01, -0.29)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.2087758)	(
(28)	(0.01, 0.19, 9.49)	(-15.1875, -91.0625, 24.1875)	(-0.001090830782496456, 0.0, 0.001090830782496456)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.01, -0.36)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.2668839)	(
(28)	(0.04, 0.22, 9.450000000000001)	(-15.1875, -92.1875, 23.375)	(-0.001090830782496456, -0.002181661564992912, -0.002181661564992912)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.01, 0.01, -0.36)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.3312032)	(
(28)	(0.05, 0.22, 9.43)	(-15.875, -91.75, 23.0625)	(-0.002181661564992912, -0.001090830782496456, 0.0)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.0, -0.34)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.3849764)	(
(28)	(0.03, 0.19, 9.46)	(-16.25, -91.0625, 23.0625)	(-0.002181661564992912, -0.002181661564992912, 0.002181661564992912)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.01, 0.0, -0.35000000000000003)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.4423277)	(
(28)	(0.03, 0.17, 9.46)	(-15.875, -91.75, 23.75)	(-0.002181661564992912, 0.0, -0.001090830782496456)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.01, 0.02, -0.32)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.4996862)	(
(28)	(0.05, 0.2, 9.42)	(-15.5625, -91.5, 22.5625)	(0.001090830782496456, 0.0, -0.002181661564992912)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.0, -0.33)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.5523243)	(
(28)	(0.02, 0.21, 9.44)	(-15.1875, -91.5, 23.375)	(0.002181661564992912, -0.006544984694978736, 0.001090830782496456)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.01, -0.32)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.6106517)	(
(28)	(0.05, 0.16, 9.43)	(-15.1875, -91.75, 23.0625)	(-0.004363323129985824, -0.001090830782496456, -0.001090830782496456)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.0, -0.36)	(0.04, 0.18, 9.8)	(0,	0,	0,	0)	(1700331167.66592)	(
(28)	(0.03, 0.19, 9.47)	(2033.5, -91.75, 24.1875)	(0.001090830782496456, 0.0, 0.0)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.0, -0.36)	(0.04, 0.18, 9.8)	(0,	3,	0,	0)	(1700331167.7229621)	(
(28)	(0.05, 0.21, 9.44)	(-14.875, -91.875, 23.375)	(0.001090830782496456, -0.001090830782496456, -0.002181661564992912)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.01, 0.0, -0.33)	(0.04, 0.18, 9.8)	(0,	3,	0,	0)	(1700331167.7735455)	(
(28)	(0.03, 0.14, 9.450000000000001)	(-14.875, -91.5, 22.5625)	(0.002181661564992912, -0.00545415391248228, 0.0)	(0.0, 0.1875, -1.0625)	(0.99993896484375, 0.00933837890625, -0.00213623046875, 0.0)	(0.0, 0.01, -0.33)	(0.04, 0.18, 9.8)	(0,	3,	0,	0)	(1700331167.844778)	(
