Temp (c), Acc
(-95)	(0.06, -0.34, -9.84)	(45.1875, 18.5, 37.875)	(-0.001090830782496456, 0.001090830782496456, 0.003272492347489368)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(2,	0,	0,	0)	(1696700088.6362655)	(
(33)	(0.04, -0.33, -9.870000000000001)	(45.1875, 18.5, 37.875)	(0.003272492347489368, 0.002181661564992912, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0,	0,	0,	0)	(1696700088.6708276)	(
(-95)	(0.03, -0.3, -9.86)	(45.1875, 18.5, 37.875)	(0.0, 0.001090830782496456, 0.001090830782496456)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.0, 0.0)	(0.04, -0.3, -19.66)	(0.0, 0.0, 9.8)	(0,	0,	0,	0)	(1696700088.7045994)	(
(-95)	(0.0, -0.33, -9.84)	(46.25, 17.375, 39.0625)	(-0.002181661564992912, 0.003272492347489368, 0.0)	(171.0625, 0.125, 177.9375)	(0.0179443359375, -0.996826171875, -0.0777587890625, 0.0)	(0.0, -0.02, -0.04)	(0.02, -0.35000000000000003, -9.8)	(2,	0,	0,	0)	(1696700088.7345953)	(
(-95)	(0.02, -0.39, -9.85)	(46.25, 17.375, 39.0625)	(-0.001090830782496456, 0.003272492347489368, 0.0)	(171.0625, 0.125, 177.9375)	(0.0179443359375, -0.996826171875, -0.0777587890625, 0.0)	(0.01, 0.1, -0.1)	(0.02, -0.35000000000000003, -9.8)	(2,	0,	0,	0)	(1696700088.7625086)	(
(-95)	(0.02, -0.31, -9.83)	(45.875, 18.5, 37.875)	(-0.001090830782496456, 0.004363323129985824, 0.0)	(171.0625, 0.125, 177.9375)	(0.0179443359375, -0.996826171875, -0.0777587890625, 0.0)	(0.02, 0.02, -0.07)	(0.02, -0.35000000000000003, -9.8)	(2,	0,	0,	0)	(1696700088.7964792)	(
(-95)	(0.02, -0.34, -9.84)	(45.875, 18.5, 37.875)	(-0.001090830782496456, 0.002181661564992912, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.0179443359375, -0.996826171875, -0.0777587890625, 0.0)	(0.02, 0.03, -0.02)	(0.02, -0.35000000000000003, -9.8)	(2,	0,	0,	0)	(1696700088.827808)	(
(33)	(0.0, -0.26, -9.870000000000001)	(45.5, 17.75, 38.25)	(-0.001090830782496456, 0.003272492347489368, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.02, 0.02, -0.03)	(0.02, -0.35000000000000003, -9.8)	(2,	0,	0,	0)	(1696700088.8602202)	(
(33)	(0.02, -0.35000000000000003, -9.83)	(46.25, 17.75, 39.0625)	(-0.001090830782496456, 0.001090830782496456, 0.0)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.0, 0.07, -0.05)	(0.02, -0.35000000000000003, -9.8)	(0,	0,	0,	0)	(1696700088.8932986)	(
(-95)	(0.05, -0.32, -9.85)	(46.25, 17.75, 39.0625)	(-0.001090830782496456, 0.14289883250703572, -0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.01, -0.01, -0.02)	(0.02, -0.35000000000000003, -9.8)	(0,	0,	0,	0)	(1696700088.9210334)	(
(-95)	(0.01, -0.33, -9.88)	(46.25, 17.375, 38.25)	(0.0, 0.001090830782496456, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(-0.03, 0.09, -0.03)	(0.02, -0.34, -9.8)	(0,	0,	0,	0)	(1696700088.9565773)	(
(-95)	(0.0, -0.28, -9.83)	(45.5, 18.1875, 39.0625)	(-0.001090830782496456, 0.004363323129985824, 0.0)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.0, 0.02, -0.03)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700088.9874284)	(
(-95)	(0.01, -0.27, -9.86)	(45.5, 18.1875, 39.0625)	(0.0, 0.004363323129985824, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.0, -0.03, -0.04)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700089.0185754)	(
(33)	(0.04, -0.28, -9.85)	(46.5625, 18.1875, 37.875)	(-0.003272492347489368, 0.003272492347489368, 0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.01, 0.01, -0.03)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700089.0497596)	(
(33)	(0.04, -0.33, -9.86)	(46.25, 17.0625, 37.875)	(-0.001090830782496456, 0.002181661564992912, 0.0)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.03, 0.03, -0.04)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700089.078763)	(
(33)	(0.04, -0.29, -9.88)	(46.25, 17.0625, 37.875)	(-0.001090830782496456, 0.004363323129985824, 0.0)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.0, -0.04, -0.04)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700089.1115901)	(
(-95)	(0.03, -0.31, -9.86)	(47.0, 18.1875, 38.6875)	(-0.001090830782496456, 0.002181661564992912, -0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(-0.03, 0.0, -0.03)	(0.02, -0.34, -9.8)	(0,	0,	0,	0)	(1696700089.1434236)	(
(-95)	(0.03, -0.31, -9.84)	(47.0, 18.1875, 38.6875)	(-0.001090830782496456, 0.001090830782496456, -0.004363323129985824)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.01, -0.02, -0.04)	(0.02, -0.34, -9.8)	(0,	0,	0,	0)	(1696700089.1763415)	(
(-95)	(0.03, -0.35000000000000003, -9.85)	(46.5625, 17.375, 39.5)	(0.0, 0.00545415391248228, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.0, 0.09, -0.06)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700089.2069519)	(
(-95)	(0.06, -0.25, -9.86)	(46.5625, 18.1875, 39.0625)	(-0.001090830782496456, 0.003272492347489368, 0.0)	(171.0625, 0.125, 177.9375)	(0.01788330078125, -0.996826171875, -0.0777587890625, 0.0)	(0.0, -0.01, -0.06)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700089.2389338)	(
(33)	(0.03, -0.35000000000000003, -9.84)	(46.5625, 18.1875, 39.0625)	(0.0, 0.0, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, 0.0)	(0.01, 0.05, -0.06)	(0.02, -0.34, 317.88)	(0,	0,	0,	0)	(1696700089.2708101)	(
(33)	(0.04, -0.29, -9.89)	(47.25, 16.6875, 39.0625)	(-0.002181661564992912, 0.003272492347489368, 0.0)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, 0.0)	(0.01, 0.08, -0.05)	(0.02, -0.34, -9.8)	(2,	0,	0,	0)	(1696700089.3042634)	(
(-95)	(0.03, -0.27, -9.870000000000001)	(46.5625, 17.75, 38.25)	(-0.003272492347489368, 0.003272492347489368, 0.0)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, 0.0)	(0.02, 0.0, -0.04)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.33443)	(
(-95)	(0.07, -0.22, -9.870000000000001)	(46.5625, 17.75, 38.25)	(0.002181661564992912, -0.002181661564992912, 0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(-0.02, -0.01, -0.05)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.365832)	(
(-95)	(0.02, -0.35000000000000003, -9.84)	(46.5625, 17.75, 39.5)	(0.001090830782496456, 0.0, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, 1.9222412109375, -6.103515625e-05)	(0.02, 0.03, -0.08)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.395483)	(
(-95)	(0.01, -0.36, -9.85)	(46.5625, 17.75, 39.5)	(-0.001090830782496456, -0.004363323129985824, 0.0)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.03, 0.03, -0.06)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.4234996)	(
(-95)	(0.06, -0.38, -9.85)	(46.25, 18.5, 39.0625)	(0.0, 0.0, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.1, -0.08)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.4533448)	(
(-95)	(0.05, -0.32, -9.84)	(46.5625, 17.0625, 38.6875)	(0.001090830782496456, -0.002181661564992912, 0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.0, -0.06)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.4858565)	(
(-95)	(0.02, -0.33, -9.84)	(46.5625, 17.0625, 38.6875)	(0.002181661564992912, 0.001090830782496456, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.02, -0.04)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.5140383)	(
(-95)	(0.01, -0.34, -9.84)	(46.25, 18.5, 38.25)	(0.001090830782496456, -0.002181661564992912, 0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.02, -0.08)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.5472236)	(
(-95)	(0.05, -0.29, -9.870000000000001)	(46.25, 18.5, 38.25)	(0.0, 0.0, 0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, -0.05, -0.04)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.5774233)	(
(-95)	(0.06, -0.24, -9.9)	(47.0, 16.6875, 38.25)	(0.0, -0.003272492347489368, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.0, -0.05)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.608505)	(
(-95)	(0.03, -0.33, -9.85)	(44.75, 18.1875, 37.5625)	(0.001090830782496456, -0.001090830782496456, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.0, -0.04)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.6380236)	(
(-95)	(0.02, -0.35000000000000003, -9.86)	(44.75, 18.1875, 37.5625)	(0.0, 0.0, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.017822265625, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.03, 0.09, -0.06)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.6681836)	(
(-95)	(0.04, -0.31, -9.83)	(46.25, 17.75, 39.875)	(0.0, 0.0, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.01, 0.04, -0.07)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.697089)	(
(-95)	(0.05, -0.34, -9.84)	(46.25, 17.75, 39.875)	(0.0, -0.001090830782496456, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(-0.03, 0.02, -0.05)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.7251387)	(
(-95)	(0.06, -0.34, -9.85)	(46.5625, 17.375, 37.5)	(0.001090830782496456, -0.002181661564992912, 0.003272492347489368)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(-0.01, 0.1, -0.09)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.7536924)	(
(-95)	(0.02, -0.3, -9.84)	(46.5625, 17.375, 37.875)	(-0.001090830782496456, 0.001090830782496456, 0.003272492347489368)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.01, 0.0, -0.06)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.7844167)	(
(-95)	(0.05, -0.31, -9.870000000000001)	(46.5625, 17.375, 37.875)	(-0.001090830782496456, 0.003272492347489368, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, -0.01, -0.05)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.8153393)	(
(-95)	(0.05, -0.3, -9.88)	(46.25, 17.75, 38.375)	(0.0, 0.001090830782496456, -0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.0, -0.03)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.8463898)	(
(-95)	(0.06, -0.42, -9.83)	(46.25, 17.75, 38.375)	(-0.001090830782496456, -0.001090830782496456, 0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.01, 0.02, -0.04)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.8725672)	(
(33)	(0.02, -0.33, -9.870000000000001)	(45.1875, 18.1875, 37.875)	(0.001090830782496456, -0.003272492347489368, -0.001090830782496456)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.0, -0.04)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.9063358)	(
(-95)	(0.02, -0.25, -9.85)	(45.875, 17.375, 38.25)	(0.002181661564992912, 0.0, 0.0)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, 0.01, -0.06)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700089.9397428)	(
(-95)	(0.04, -0.3, -9.85)	(45.875, 17.375, 38.25)	(-0.001090830782496456, 0.001090830782496456, 0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.0, -0.04, -0.03)	(0.02, -0.34, -9.8)	(2,	3,	0,	0)	(1696700089.9686007)	(
(-95)	(0.0, -0.25, -9.92)	(45.875, 18.1875, 38.6875)	(-0.001090830782496456, 0.0, 0.002181661564992912)	(171.0625, 0.125, 177.9375)	(0.01776123046875, -0.996826171875, -0.0777587890625, -6.103515625e-05)	(0.04, -0.04, -0.04)	(0.02, -0.34, -9.8)	(0,	3,	0,	0)	(1696700090.000362)	(
