Temp (c), Acc
(-100)	(0.04, 0.18, 9.450000000000001)	(-15.5625, -92.1875, 23.375)	(-0.002181661564992912, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(2,	0,	0,	0)	(1700331021.5283637)	(
(28)	(0.03, 0.14, 9.42)	(-15.5625, -92.1875, 23.375)	(0.0, -0.003272492347489368, -0.002181661564992912)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0,	0,	0,	0)	(1700331021.5629141)	(
(-100)	(0.01, 0.17, 9.44)	(-15.5625, -92.1875, 23.375)	(-0.001090830782496456, -0.003272492347489368, 0.0)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.0, 0.0)	(0.05, 0.18, -0.34)	(0.0, 0.0, 9.8)	(0,	0,	0,	0)	(1700331021.5993302)	(
(-100)	(0.02, 0.2, 9.450000000000001)	(-14.875, -92.1875, 23.375)	(-0.001090830782496456, 0.0, -0.001090830782496456)	(0.0, 0.25, -1.1875)	(0.99993896484375, 0.01080322265625, -0.0023193359375, 0.0)	(0.0, 0.0, -0.36)	(0.04, 0.21, 9.8)	(2,	0,	0,	0)	(1700331021.629489)	(
(-100)	(0.04, 0.17, 9.43)	(-14.875, -92.1875, 23.375)	(0.0, -0.008726646259971648, 0.001090830782496456)	(0.0, 0.25, -1.1875)	(0.99993896484375, 0.01080322265625, -0.0023193359375, 0.0)	(-0.03, -0.01, -0.32)	(0.04, 0.21, 9.8)	(2,	0,	0,	0)	(1700331021.660243)	(
(28)	(0.02, 0.19, 9.48)	(-14.75, -92.1875, 23.375)	(0.0, -0.001090830782496456, 0.0)	(0.0, 0.25, -1.1875)	(0.99993896484375, 0.01080322265625, -0.0023193359375, 0.0)	(0.0, -0.02, -0.36)	(0.04, 0.21, 9.8)	(2,	0,	0,	0)	(1700331021.6919317)	(
(-100)	(0.04, 0.18, 9.47)	(-15.5625, -91.0625, 23.75)	(-0.003272492347489368, -0.002181661564992912, 0.0)	(360.0, 0.25, -1.1875)	(0.99993896484375, 0.01080322265625, -0.0023193359375, 0.0)	(0.0, -0.04, -0.36)	(0.04, 0.21, 9.8)	(2,	0,	0,	0)	(1700331021.7206473)	(
(28)	(0.04, 0.2, 9.450000000000001)	(-15.5625, -91.0625, 23.75)	(-0.002181661564992912, -0.002181661564992912, -0.001090830782496456)	(360.0, 0.25, -1.1875)	(0.99993896484375, 0.01080322265625, -0.0023193359375, 0.0)	(-0.01, -0.02, -0.34)	(0.04, 0.21, 9.8)	(2,	0,	0,	0)	(1700331021.7542942)	(
(-100)	(0.05, 0.21, 9.42)	(-14.75, -92.1875, 22.5625)	(0.0, -0.003272492347489368, 0.0)	(360.0, 0.25, -1.1875)	(0.99993896484375, 0.01080322265625, -0.0023193359375, 0.0)	(0.01, -0.01, -0.36)	(0.04, 0.21, 9.8)	(0,	0,	0,	0)	(1700331021.7870657)	(
(-100)	(None, None, None)	(-14.75, -92.1875, 22.5625)	(-0.001090830782496456, -0.003272492347489368, -0.001090830782496456)	(360.0, 0.25, -1.1875)	(0.99993896484375, 0.01080322265625, -0.0023193359375, 0.0)	(0.0, -0.01, -0.34)	(0.04, 0.21, 9.8)	(0,	0,	0,	0)	(1700331021.8163838)	(
