Temp (c), Acc
(-100)	(-3.34, -3.59, 8.39)	(-45.25, -2.875, -14.75)	(-0.002181661564992912, 0.006544984694978736, 0.001090830782496456)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(1693385933.2831903)
(28)	(-3.34, -3.5500000000000003, 8.32)	(-45.25, -2.875, -14.75)	(-0.01090830782496456, 0.01090830782496456, 0.002181661564992912)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(1693385933.3145218)
(28)	(-3.33, -3.54, 8.41)	(-45.25, -2.875, -14.75)	(0.002181661564992912, 0.003272492347489368, -0.002181661564992912)	(360.0, 0.0, 0.0)	(1.0, -6.103515625e-05, 0.00018310546875, 0.0)	(-3.3200000000000003, -3.5700000000000003, -1.42)	(0.0, 0.0, 9.8)	(1693385933.3431067)
(-100)	(-3.33, -3.58, 8.41)	(-45.25, -2.875, -14.75)	(-0.004363323129985824, 0.004363323129985824, 0.003272492347489368)	(360.0, 0.0, 0.0)	(1.0, -6.103515625e-05, 0.00018310546875, 0.0)	(-3.34, -3.5700000000000003, -1.42)	(0.0, 0.0, 9.8)	(1693385933.3702343)
(-100)	(-3.3200000000000003, -3.5700000000000003, 8.370000000000001)	(-45.6875, -3.25, -14.0)	(0.001090830782496456, 0.003272492347489368, 0.0)	(0.0, -20.0625, 23.0625)	(0.96539306640625, -0.19049072265625, 0.17803955078125, 0.0)	(0.02, 0.04, -0.1)	(-3.37, -3.6, 8.47)	(1693385933.3971434)
(28)	(-3.34, -3.5500000000000003, 8.39)	(-46.0, -3.25, -14.0)	(0.002181661564992912, 0.001090830782496456, -0.004363323129985824)	(0.0, -20.0625, 23.0625)	(0.96539306640625, -0.19049072265625, 0.17803955078125, 0.0)	(0.01, 0.02, -0.06)	(-3.37, -3.6, 8.47)	(1693385933.4272046)
(28)	(-3.34, -3.56, 8.370000000000001)	(-46.0, -3.25, -14.0)	(-0.00545415391248228, 0.002181661564992912, -0.001090830782496456)	(0.0, -20.0625, 23.0625)	(0.96539306640625, -0.19049072265625, 0.17803955078125, 0.0)	(0.02, 0.03, -0.08)	(-3.37, -3.6, 8.47)	(1693385933.460817)
(-100)	(-3.34, -3.5700000000000003, 8.38)	(-45.6875, -2.875, -12.375)	(0.002181661564992912, -0.003272492347489368, 0.0)	(0.0, -20.0625, 23.0625)	(0.96539306640625, -0.19049072265625, 0.17803955078125, 0.0)	(0.01, 0.04, -0.09)	(-3.37, -3.6, 8.47)	(1693385933.48753)
(28)	(-3.35, -3.5700000000000003, 8.370000000000001)	(-45.6875, -2.875, -12.375)	(0.003272492347489368, 0.0, -0.001090830782496456)	(0.0, -20.0625, 23.0625)	(0.96539306640625, -0.19049072265625, 0.17803955078125, 0.0)	(0.01, 0.02, -0.06)	(-3.37, -3.6, 8.47)	(1693385933.5151026)
(28)	(-3.35, -3.58, 8.39)	(-44.1875, -4.0, -13.1875)	(0.0, 0.001090830782496456, 0.0)	(0.0, -20.0625, 23.0625)	(0.96539306640625, -0.19049072265625, 0.17803955078125, 0.0)	(0.01, 0.04, -0.09)	(-3.37, -3.6, 8.47)	(1693385933.545806)
