Temp (c), Acc
(-99)	(-3.11, -3.19, 8.55)	(-53.25, -13.0625, -22.25)	(-0.004363323129985824, 0.011999138607461015, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(2023-08-30 00:57:56.420844)
(29)	(-3.11, -3.18, 8.58)	(-53.25, -13.0625, -22.25)	(0.0, 0.004363323129985824, -0.006544984694978736)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.000244140625, 0.0)	(-3.11, -3.17, -1.19)	(0.0, 0.0, 9.8)	(2023-08-30 00:57:56.420844)
(-99)	(-3.12, -3.16, 8.6)	(-52.5625, -12.375, -21.5)	(0.0, 0.002181661564992912, -0.004363323129985824)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.02, 0.05, -0.13)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.1, -3.16, 8.58)	(-52.5625, -13.375, -21.5)	(0.0, 0.003272492347489368, -0.002181661564992912)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.02, 0.02, -1.3900000000000001)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.13, -3.19, 8.620000000000001)	(-53.25, -13.75, -20.75)	(-0.003272492347489368, -0.004363323129985824, 0.002181661564992912)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.02, 0.04, -0.12)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.12, -3.18, 8.56)	(-53.25, -12.75, -20.75)	(0.0, -0.001090830782496456, 0.001090830782496456)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.03, 0.04, -0.13)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.14, -3.17, 8.59)	(-52.875, -13.0625, -20.25)	(0.006544984694978736, 0.004363323129985824, -0.003272492347489368)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.01, 0.03, -0.08)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.13, -3.17, 8.6)	(-52.25, -12.75, -20.75)	(-0.004363323129985824, 0.007635815477475192, 0.001090830782496456)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.04, 0.04, -0.11)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.12, -3.15, 8.59)	(-52.25, -12.75, -20.75)	(-0.004363323129985824, 0.007635815477475192, 0.0)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.03, 0.05, -0.09)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.12, -3.18, 8.61)	(-52.875, -13.375, -21.875)	(0.0, 0.007635815477475192, 0.0)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.03, 0.02, -0.07)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.12, -3.17, 8.57)	(-53.25, -14.1875, -21.0625)	(-0.004363323129985824, 0.003272492347489368, -0.001090830782496456)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.05, 0.03, -0.08)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(29)	(-3.1, -3.17, 8.58)	(-52.5625, -13.375, -21.0625)	(0.003272492347489368, 0.003272492347489368, -0.004363323129985824)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.04, 0.03, -0.08)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.1, -3.17, 8.59)	(-53.6875, -13.75, -21.5)	(-0.001090830782496456, 0.0, -0.00545415391248228)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.02, 0.05, -0.09)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(29)	(-3.13, -3.17, 8.540000000000001)	(-52.875, -12.75, -21.5)	(-0.007635815477475192, 0.003272492347489368, 0.002181661564992912)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.03, 0.02, -0.12)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.1, -3.18, 8.6)	(-53.25, -12.375, -21.0625)	(0.0, 0.007635815477475192, 0.0)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.03, 0.03, -0.13)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
(-99)	(-3.12, -3.18, 8.61)	(-53.25, -13.375, -20.375)	(0.0, 0.007635815477475192, 0.0)	(0.0, -18.75, 20.25)	(0.97161865234375, -0.16888427734375, 0.16571044921875, -6.103515625e-05)	(0.03, 0.02, -0.1)	(-3.15, -3.21, 8.700000000000001)	(2023-08-30 00:57:56.420844)
