Temp (c), Acc
(-101)	(-3.34, -3.5700000000000003, 8.38)	(-45.6875, -3.6875, -15.0625)	(0.0, 0.001090830782496456, 0.002181661564992912)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(1693385806.2515376)
(27)	(-3.34, -3.58, 8.36)	(-45.6875, -3.6875, -15.0625)	(-0.002181661564992912, 0.001090830782496456, 0.003272492347489368)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(1693385806.2830374)
(27)	(-3.34, -3.56, 8.370000000000001)	(-45.6875, -3.6875, -15.0625)	(0.0, 0.009817477042468103, -0.001090830782496456)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.0, 0.0)	(-3.33, -3.54, -1.44)	(0.0, 0.0, 9.8)	(1693385806.3141668)
(27)	(-3.34, -3.56, 8.38)	(-44.875, -4.0, -14.75)	(0.001090830782496456, 0.008726646259971648, 0.001090830782496456)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.0, 0.0)	(0.03, 0.03, -0.07)	(-3.36, -3.6, 8.47)	(1693385806.3420691)
(27)	(-3.33, -3.56, 8.38)	(-44.875, -4.0, -14.75)	(0.004363323129985824, 0.001090830782496456, 0.001090830782496456)	(0.0, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.02, 0.01, -0.08)	(-3.36, -3.6, 8.47)	(1693385806.370832)
(-101)	(-3.34, -3.54, 8.41)	(-44.5625, -3.6875, -14.0)	(0.001090830782496456, 0.003272492347489368, -0.002181661564992912)	(360.0, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.02, 0.04, -0.07)	(-3.36, -3.6, 8.47)	(1693385806.397188)
(-101)	(-3.33, -3.58, 8.41)	(-44.5625, -3.6875, -14.0)	(-0.003272492347489368, 0.002181661564992912, 0.0)	(360.0, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.04, 0.05, -0.1)	(-3.36, -3.6, 8.47)	(1693385806.4223623)
(-101)	(-3.33, -3.56, 8.38)	(-44.875, -3.6875, -13.5625)	(-0.006544984694978736, -0.001090830782496456, 0.0)	(360.0, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.04, 0.05, -0.09)	(-3.36, -3.6, 8.47)	(1693385806.4492743)
(-101)	(-3.34, -3.56, 8.4)	(-44.875, -3.6875, -13.5625)	(0.002181661564992912, -0.001090830782496456, -0.002181661564992912)	(359.9375, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.03, 0.02, -0.06)	(-3.36, -3.6, 8.47)	(1693385806.4735467)
(27)	(-3.33, -3.56, 8.39)	(-44.1875, -3.6875, -14.0)	(-0.003272492347489368, 0.002181661564992912, 0.001090830782496456)	(359.9375, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.03, 0.04, -0.09)	(-3.36, -3.6, 8.47)	(1693385806.5008988)
(-101)	(-3.35, -3.56, 8.4)	(-44.1875, -3.6875, -14.0)	(-0.001090830782496456, -0.003272492347489368, -0.002181661564992912)	(359.9375, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.01, 0.06, -0.08)	(-3.36, -3.6, 8.47)	(1693385806.5252428)
(27)	(-3.33, -3.5500000000000003, 8.4)	(-44.5625, -3.25, -13.1875)	(-0.003272492347489368, -0.001090830782496456, -0.008726646259971648)	(359.9375, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.02, 0.03, -0.1)	(-3.36, -3.6, 8.47)	(1693385806.5518954)
(-101)	(-3.3200000000000003, -3.5700000000000003, 8.370000000000001)	(-44.5625, -3.25, -13.1875)	(-0.008726646259971648, 0.001090830782496456, 0.003272492347489368)	(359.9375, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.03, 0.06, -0.09)	(-3.36, -3.6, 8.47)	(1693385806.5776548)
(-101)	(-3.3200000000000003, -3.54, 8.39)	(-45.6875, -4.0, -12.75)	(0.002181661564992912, 0.008726646259971648, -0.001090830782496456)	(359.9375, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.04, 0.02, -0.1)	(-3.36, -3.6, 8.47)	(1693385806.605922)
(27)	(-3.35, -3.56, 8.42)	(-45.6875, -4.0, -12.75)	(0.006544984694978736, 0.004363323129985824, -0.004363323129985824)	(359.9375, -20.0625, 23.0)	(0.9654541015625, -0.19036865234375, 0.17791748046875, 0.0)	(0.01, 0.03, -0.06)	(-3.36, -3.6, 8.47)	(1693385806.6392252)
