Temp (c), Acc
(-100)	(0.06, 0.18, 9.44)	(-15.1875, -91.75, 22.25)	(-0.001090830782496456, -0.001090830782496456, -0.002181661564992912)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(2,	0,	0,	0)	(1700331088.450936)	(
(28)	(0.06, 0.19, 9.43)	(-15.1875, -91.75, 22.25)	(-0.001090830782496456, 0.002181661564992912, 0.001090830782496456)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0.0, 0.0, 0.0)	(0,	0,	0,	0)	(1700331088.4861038)	(
(-100)	(0.05, 0.18, 9.43)	(-15.1875, -91.75, 22.25)	(-0.003272492347489368, -0.002181661564992912, -0.001090830782496456)	(0.0, 0.0, 0.0)	(1.0, 0.0, 0.0, 0.0)	(0.05, 0.15, -0.34)	(0.0, 0.0, 9.8)	(0,	0,	0,	0)	(1700331088.5199957)	(
(-100)	(0.04, 0.21, 9.450000000000001)	(-14.875, -91.0625, 23.375)	(-0.00545415391248228, 0.0, 0.0)	(0.0, 0.1875, -1.125)	(0.99993896484375, 0.0101318359375, -0.00201416015625, 0.0)	(-0.02, -0.01, -0.32)	(0.03, 0.19, 9.8)	(2,	0,	0,	0)	(1700331088.549517)	(
(-100)	(0.06, 0.22, 9.450000000000001)	(-14.875, -91.0625, 23.375)	(-0.002181661564992912, -0.002181661564992912, -0.002181661564992912)	(None, None, None)	(0.99993896484375, 0.0101318359375, -0.00201416015625, 0.0)	(0.0, -0.01, -0.36)	(0.03, 0.19, 9.8)	(2,	0,	0,	0)	(1700331088.5803196)	(
(-100)	(0.06, 0.19, 9.450000000000001)	(-14.5, -91.0625, 23.75)	(0.002181661564992912, -0.001090830782496456, 0.0)	(360.0, 0.1875, -1.125)	(0.99993896484375, 0.0101318359375, -0.00201416015625, 0.0)	(0.01, 0.03, -0.35000000000000003)	(0.03, 0.19, 9.8)	(2,	0,	0,	0)	(1700331088.6111767)	(
(-100)	(0.05, 0.19, 9.46)	(-14.5, -91.0625, 23.75)	(0.001090830782496456, -0.00545415391248228, -0.003272492347489368)	(360.0, 0.1875, -1.125)	(0.99993896484375, 0.0101318359375, -0.00201416015625, 0.0)	(0.01, -0.01, -0.33)	(0.03, 0.19, 9.8)	(2,	0,	0,	0)	(1700331088.6428993)	(
(28)	(0.04, 0.21, 9.48)	(-14.875, -91.75, 23.75)	(0.0, 0.0, -0.002181661564992912)	(360.0, 0.1875, -1.125)	(0.99993896484375, 0.0101318359375, -0.00201416015625, 0.0)	(0.02, -0.04, -0.35000000000000003)	(0.03, 0.19, 9.8)	(0,	0,	0,	0)	(1700331088.6735125)	(
(28)	(0.07, 0.17, 9.44)	(-15.875, -90.75, 23.375)	(-0.001090830782496456, -0.004363323129985824, -0.001090830782496456)	(360.0, 0.1875, -1.125)	(0.99993896484375, 0.0101318359375, -0.00201416015625, 0.0)	(0.01, 0.02, -0.33)	(0.03, 0.19, 9.8)	(0,	0,	0,	0)	(1700331088.7083125)	(
(-100)	(0.02, 0.21, 9.47)	(-15.875, -90.75, 23.375)	(-0.001090830782496456, -0.002181661564992912, -0.002181661564992912)	(360.0, 0.1875, -1.125)	(0.99993896484375, 0.0101318359375, -0.00201416015625, 0.0)	(0.01, 0.0, -0.32)	(0.03, 0.19, 9.8)	(0,	0,	0,	0)	(1700331088.7378943)	(
