Temp (c), Acc
(27)	(-2.99, -3.48, 8.53)	(-48.1875, -5.75, -15.0625)	(-0.001090830782496456, 0.00545415391248228, -0.001090830782496456)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.04, -0.09)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.2416673)
(27)	(-2.99, -3.5, 8.53)	(-48.1875, -5.75, -15.0625)	(0.002181661564992912, 0.003272492347489368, -0.002181661564992912)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.02, -0.08)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.2685122)
(-101)	(-3.02, -3.5, 8.540000000000001)	(-46.75, -5.75, -14.375)	(-0.002181661564992912, 0.007635815477475192, -0.004363323129985824)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.02, 0.03, -0.1)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.2934656)
(-101)	(-3.0, -3.5, 8.53)	(-46.75, -5.75, -14.375)	(-0.004363323129985824, 0.00545415391248228, -0.001090830782496456)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.03, 0.03, -0.08)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.3196275)
(-101)	(-2.99, -3.48, 8.52)	(-47.75, -5.5, -14.375)	(-0.002181661564992912, 0.002181661564992912, -0.001090830782496456)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.04, 0.07, -0.13)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.346503)
(27)	(-2.99, -3.5100000000000002, 8.52)	(-47.75, -5.5, -14.375)	(0.0, 0.002181661564992912, -0.001090830782496456)	(359.9375, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.159423828125, 0.0)	(0.03, 0.01, -0.1)	(-3.0300000000000002, -3.5300000000000002, 8.63)	(1693384264.3708591)
(-101)	(-3.0100000000000002, -3.5, 8.52)	(-47.5, -4.75, -15.0625)	(0.0, -0.002181661564992912, -0.003272492347489368)	(0.0, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.15948486328125, 0.0)	(0.04, 0.03, -0.1)	(-3.0300000000000002, -3.5300000000000002, 8.620000000000001)	(1693384264.3984892)
(-101)	(-3.02, -3.5, 8.56)	(-47.5, -4.75, -15.0625)	(-0.00545415391248228, -0.004363323129985824, 0.001090830782496456)	(0.0, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.15948486328125, 0.0)	(-0.01, 0.01, -0.03)	(-3.0300000000000002, -3.5300000000000002, 8.620000000000001)	(1693384264.4239116)
(27)	(-3.02, -3.5, 8.53)	(-47.5, -5.5, -14.375)	(0.007635815477475192, 0.01090830782496456, -0.008726646259971648)	(0.0, -18.0, 22.25)	(0.96954345703125, -0.1859130859375, 0.1595458984375, 0.0)	(0.02, 0.03, -0.08)	(-3.0300000000000002, -3.5300000000000002, 8.620000000000001)	(1693384264.4525855)
(-101)	(-3.0, -3.48, 8.5)	(-47.5, -5.5, -14.375)	(-0.018544123302439753, 0.011999138607461015, 0.004363323129985824)	(0.0, -18.0, 22.25)	(0.969482421875, -0.18603515625, 0.1597900390625, -6.103515625e-05)	(0.07, 0.06, -0.13)	(-3.0300000000000002, -3.5300000000000002, 8.620000000000001)	(1693384264.4826143)
